產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
折疊手機散熱,2421 建準,風扇與散熱解決方案廠,供應風扇、散熱與熱管理產品,在高可靠度散熱應用具量產與客戶基礎，可受惠折疊裝置散熱需求。[web:87]
折疊手機通路/組裝,2317 鴻海,EMS代工與系統整合龍頭,負責大型品牌手機與電子產品組裝，市場傳出有機會切入蘋果折疊機供應鏈,具全球最大規模EMS能力與蘋果供應鏈地位，若切入折疊機組裝具高槓桿效果。[web:90][web:52]
折疊手機關鍵材料,2002 中鋼,材料供應相關,提供金屬材料與特殊鋼材應用,折疊機對高強度材料需求高，材料端具間接受惠機會。[web:93]

產業分類,個股代碼名稱,產業定位,公司業務說明,在該產業的地位與優勢
AI眼鏡核心晶片,2330 台積電,晶圓代工龍頭,提供AI眼鏡SoC、AR/VR晶片所需的高階製程代工,全球頂級製程與產能，多數國際大廠AI眼鏡核心晶片依賴其供應。[web:98][web:99]
AI眼鏡晶片設計,2454 聯發科,系統單晶片（SoC）設計廠,供應AR/VR與AI相關晶片方案，並與Meta等合作開發AI眼鏡晶片,具備高整合度SoC設計與AI加速能力，是非Apple陣營AI眼鏡重要晶片來源。[web:101][web:104]
LED/Micro顯示元件,3714 富采,Micro LED與LED元件供應商,提供高亮度、低功耗顯示與照明元件,在Micro LED與高階顯示元件技術具領先地位，可切入AR/眼鏡微型顯示方案。[web:100][web:101]
光學模組,3406 玉晶光,光學鏡頭與模組廠,供應高階光學鏡頭與相機模組,在手機級光學模組具深厚經驗，可延伸支援AI眼鏡光學與感測設計。[web:98][web:101]
光學模組,3506 楊明光,小型光學與鏡頭模組廠,提供小型光學模組與薄型化鏡頭,在小型化光學元件具優勢，符合眼鏡與穿戴裝置空間限制。[web:98][web:101]
光學鍍膜與材料,6742 澤米,光學鍍膜與材料廠,供應AR/光學鍍膜與半導體光學元件,可支援高階光學鏡片與鍍膜，技術門檻高，迎向上游關鍵材料需求。[web:102][web:103]
光學元件與感測,6209 今國光,光學元件與感測器廠,供應紅外線成像、光學元件與AR相關感測模組,在紅外與感測應用具先進技術，可切入AI眼鏡感測與夜視等利基。[web:105][web:101]
光學與顯示模組,3019 亞光,小型光學模組與顯示方案商,提供光學模組與顯示相關產品,具微型光學與顯示整合能力，可應用於眼鏡與穿戴光學設計。[web:101][web:103]
感測器與晶片設計,3227 原相,光學感測器IC設計廠,提供影像感測器與相關控制晶片,在小型感測器與低功耗設計具優勢，適用於AI眼鏡影像與感測應用。[web:101][web:108]
PCB與高階板卡,2313 華通,高階通訊PCB/HDI板廠,提供高階PCB、HDI與高頻板,在高頻、高密度板領域具量產實力，適合AI眼鏡與高階穿戴設備所需訊號板。[web:98][web:99]
PCB與高階板卡,4958 臻鼎-KY,高階軟板與FPC大廠,提供高階FPC與PCB模組,量產與技術領先，可支援折疊、穿戴與AI眼鏡內部高密度布線。[web:96][web:99]
散熱與熱管理,2314 全新,磊晶與散熱元件廠,提供高階磊晶材料與熱管理元件,在高階磊晶與散熱元件領域具規模，可支援AI眼鏡散熱與高階元件需求。[web:98][web:99]
散熱與熱管理,2451 茂矽,半導體與材料相關,供應高階材料與元件,在高階材料與半導體元件供應有基礎，可間接受惠AI眼鏡高階零組件與散熱。[web:98][web:101]
LED與光電元件,8105 鼎元,光電與LED元件廠,提供光電與LED元件產品,在光電與顯示元件領域有經驗，可支援AI眼鏡與穿戴光學方案。[web:101]
系統與品牌端,2498 宏達電,AR/VR與穿戴設備品牌,推出HTC VIVE Eagle等AR/AI眼鏡產品,在AR/VR與穿戴領域有先進技術，可直接參與AI眼鏡品牌戰場。[web:101]
系統與ODM,2382 廣達,伺服器與系統整合大廠,提供伺服器、AI與穿戴設備ODM服務,在高階系統與AI設備整合具領先地位，可承接AI眼鏡與AR設備設計製造。[web:100][web:107]
系統與ODM,2324 仁寶,電子代工與ODM廠商,提供筆電與穿戴設備ODM服務,在小型化電子設備與穿戴裝置具量產能力，具備切入AI眼鏡組裝與系統方案潛力。[web:107][web:101]
